,State,All_Races_13,White_13,Black_13,Native_13,Asian_13,Hawaiian_Other_13,Other_13,Mixed_Race_13,All_Races_14,White_14,Black_14,Native_14,Asian_14,Hawaiian_Other_14,Other_14,Mixed_Race_14,All_Races_15,White_15,Black_15,Native_15,Asian_15,Hawaiian_Other_15,Other_15,Mixed_Race_15,All_Races_16,White_16,Black_16,Native_16,Asian_16,Hawaiian_Other_16,Other_16,Mixed_Race_16,All_Races_17,White_17,Black_17,Native_17,Asian_17,Hawaiian_Other_17,Other_17,Mixed_Race_17
20,Maryland,97.2,58.4,29.4,0.3,5.7,0.0,3.4,2.8,97.1,58.1,29.5,0.3,5.9,0.0,3.4,2.9,97.0,57.6,29.5,0.3,6.0,0.0,3.6,3.0,96.9,57.2,29.6,0.3,6.1,0.0,3.7,3.1,96.8,56.6,29.7,0.3,6.2,0.0,3.9,3.2
21,Massachusetts,97.3,80.5,6.9,0.2,5.6,0.0,4.1,2.7,97.1,80.0,7.0,0.2,5.8,0.0,4.1,2.9,97.1,79.6,7.1,0.2,6.0,0.0,4.2,2.9,97.0,79.3,7.3,0.2,6.1,0.0,4.1,3.0,96.9,78.9,7.4,0.2,6.3,0.0,4.1,3.1
22,Michigan,97.5,79.3,14.0,0.6,2.5,0.0,1.1,2.5,97.4,79.2,14.0,0.6,2.6,0.0,1.1,2.6,97.4,79.0,14.0,0.5,2.7,0.0,1.1,2.6,97.3,78.9,13.9,0.5,2.8,0.0,1.1,2.7,97.2,78.7,13.8,0.5,2.9,0.0,1.2,2.8
23,Minnesota,97.5,85.6,5.2,1.1,4.2,0.0,1.4,2.5,97.4,85.2,5.4,1.0,4.3,0.0,1.5,2.6,97.3,84.8,5.5,1.0,4.4,0.0,1.5,2.7,97.3,84.3,5.7,1.0,4.5,0.0,1.6,2.7,97.2,83.7,6.0,1.0,4.7,0.0,1.7,2.8
24,Mississippi,98.8,59.5,37.2,0.4,0.9,0.0,0.8,1.2,98.8,59.3,37.3,0.4,0.9,0.0,0.8,1.2,98.8,59.2,37.4,0.4,1.0,0.0,0.9,1.2,98.8,59.0,37.5,0.4,1.0,0.0,0.9,1.2,98.7,58.8,37.6,0.4,1.0,0.0,0.9,1.3
25,Missouri,97.7,83.0,11.5,0.4,1.6,0.1,1.1,2.3,97.6,82.8,11.5,0.4,1.7,0.1,1.1,2.4,97.6,82.6,11.5,0.4,1.8,0.1,1.1,2.4,97.6,82.5,11.6,0.4,1.8,0.1,1.1,2.4,97.5,82.4,11.6,0.4,1.9,0.1,1.2,2.5
26,Montana,97.6,89.4,0.4,6.5,0.6,0.1,0.6,2.4,97.5,89.4,0.5,6.5,0.7,0.1,0.5,2.5,97.5,89.2,0.5,6.5,0.7,0.1,0.5,2.5,97.4,89.1,0.4,6.6,0.7,0.1,0.5,2.6,97.2,89.0,0.4,6.5,0.7,0.1,0.5,2.8
27,Nebraska,97.8,88.2,4.6,0.9,1.9,0.1,2.2,2.2,97.8,88.3,4.7,0.9,1.9,0.1,2.0,2.2,97.8,88.1,4.7,0.9,2.0,0.1,1.9,2.2,97.7,88.0,4.7,0.8,2.1,0.1,1.9,2.3,97.6,87.8,4.7,0.8,2.2,0.1,1.9,2.4
28,Nevada,96.0,71.4,8.2,1.1,7.4,0.6,7.3,4.0,95.8,70.1,8.3,1.1,7.5,0.6,8.2,4.2,95.6,69.0,8.4,1.1,7.7,0.6,8.8,4.4,95.5,68.1,8.6,1.1,7.8,0.6,9.2,4.5,95.3,67.1,8.8,1.1,8.1,0.7,9.7,4.7
29,New Hampshire,98.3,94.0,1.2,0.2,2.2,0.0,0.7,1.7,98.2,93.8,1.2,0.2,2.3,0.0,0.6,1.8,98.2,93.7,1.3,0.2,2.4,0.0,0.5,1.8,98.1,93.7,1.3,0.2,2.4,0.0,0.5,1.9,98.0,93.4,1.4,0.2,2.5,0.0,0.5,2.0
30,New Jersey,97.5,69.2,13.6,0.2,8.6,0.0,6.0,2.5,97.5,68.7,13.5,0.2,8.8,0.0,6.3,2.5,97.5,68.3,13.5,0.2,9.0,0.0,6.4,2.5,97.5,68.1,13.5,0.2,9.2,0.0,6.4,2.5,97.4,67.9,13.5,0.2,9.4,0.0,6.4,2.6
31,New Mexico,96.9,73.0,2.0,9.2,1.4,0.1,11.3,3.1,96.9,73.2,2.0,9.2,1.4,0.1,11.1,3.1,96.7,73.2,2.1,9.1,1.4,0.1,10.9,3.3,96.7,73.5,2.0,9.3,1.4,0.1,10.5,3.3,96.7,74.2,2.0,9.5,1.4,0.1,9.5,3.3
32,New York,97.4,65.6,15.6,0.4,7.6,0.0,8.2,2.6,97.2,65.0,15.6,0.4,7.8,0.0,8.4,2.8,97.1,64.6,15.6,0.4,8.0,0.0,8.6,2.9,97.1,64.3,15.6,0.4,8.1,0.0,8.6,2.9,97.0,63.8,15.7,0.4,8.3,0.0,8.7,3.0
33,North Carolina,97.7,69.7,21.4,1.2,2.3,0.1,3.1,2.3,97.7,69.6,21.5,1.2,2.4,0.1,3.0,2.3,97.6,69.5,21.5,1.2,2.5,0.1,3.0,2.4,97.6,69.2,21.5,1.2,2.6,0.1,3.0,2.4,97.5,69.0,21.5,1.2,2.7,0.1,3.1,2.5
